fold,train_roc_auc,train_pr_auc,test_roc_auc,test_pr_auc
0,0.832184575201335,0.6791941311865641,0.7576023391812865,0.5629851445397006
1,0.9292425451643329,0.869919746336346,0.7660818713450294,0.6232154122038719
2,0.847647464267576,0.6976836828955684,0.8007309941520467,0.6577435337960518
3,0.8965536075154296,0.810728252562168,0.7931431864016134,0.6066106812276948
4,0.8248766544686583,0.6705902239863211,0.7555459521751656,0.5879604719420135
